"fcc_unique_id","job_title","queried_salary","job_type","skill","company_id"
"1392_5cf4e54c5ef78aa7","Sr Data Scientist - Growth","120000-139999","data_scientist","['S3', 'Machine Learning', 'Python', 'SQL', 'AWS']","c_66"
"1393_090a7d416d718609","Data Scientist","120000-139999","data_scientist","['Linux', 'Hive', 'Machine Learning', 'R', 'SQL', 'Big Data', 'Data Mining', 'Hadoop', 'Scala', 'Java', 'Spark', 'NoSQL', 'Python']","c_356"
"1394_1f2dd3379c20468f","Data Scientist","120000-139999","data_scientist","['Machine Learning', 'R', 'SQL', 'Big Data', 'Natural Language Processing', 'SPSS', 'TS/SCI Clearance', 'Hadoop', 'SAS', 'HBase', 'Java', 'NoSQL', 'Python']","c_101"
"1395_1e6bb6ac32b82eea","Senior Data Scientist","120000-139999","data_scientist","['TensorFlow', 'AI', 'Hive', 'Machine Learning', 'Scala', 'DynamoDB', 'R', 'Google Cloud Platform', 'Image Processing', 'SQL', 'HBase', 'Java', 'Natural Language Processing', 'Spark', 'Python', 'AWS']","c_2005"
"1396_915f61fec1720c40","Data Scientist","120000-139999","data_scientist","['Hive', 'Machine Learning', 'R', 'Statisical Analysis', 'C/C++', 'S3', 'MySQL', 'JavaScript', 'Google AdWords', 'Data Mining', 'Hadoop', 'Java', 'Maven', 'Spark', 'Facebook Advertising', 'Python', 'Data Science']","c_1270"
"1397_88f5eba43de70e76","Data Scientist: Data Analytics / Machine Learning","120000-139999","data_scientist","['Data Mining', 'Machine Learning', 'R', 'C/C++', 'Big Data', 'Python']","c_529"
"1398_822bc5d9a49270ea","Principal Data Scientist","120000-139999","data_scientist","['PMP', 'Data Mining', 'R', 'Distributed Control Systems', 'Statisical Analysis', 'SQL', 'Spark', 'Python']","c_2139"
"1399_105ecfd0283f415f","Data Scientist! Consultant level - Atlanta!","120000-139999","data_scientist","['Pig', 'Hive', 'Machine Learning', 'R', 'Azure', 'Sentiment Analytics', 'SQL', 'Big Data', 'Natural Language Processing', 'S3', 'PostgreSQL', 'MATLAB', 'Statistical Software', 'Data Mining', 'Microsoft Powerpoint', 'Hadoop', 'SAP', 'SAS', 'Oracle', 'MongoDB']","c_379"
"1400_71cf745ec1b3aae4","Senior Data Scientist, edX","120000-139999","data_scientist","['Spark', 'R', 'Python', 'SQL']","c_1319"
"1401_1d9c6074c9e9de4c","Director, Data Science and Machine Learning","120000-139999","data_scientist","['TensorFlow', 'AI', 'Time Management', 'Machine Learning', 'Scala', 'R', 'Natural Language Processing', 'Data Science', 'Python']","c_492"
"1402_a7bde14a382de3d8","Data Scientist (Combat Incident Analysis)","120000-139999","data_scientist","['Big Data', 'Natural Language Processing', 'Microsoft SQL Server', 'TS/SCI Clearance', 'Machine Learning', 'R', 'MATLAB', 'Image Processing', 'Python', 'SQL']","c_1761"
"1403_3a71a4d2f7990a25","Sr. Data Scientist - NLP & Deep Learning","120000-139999","data_scientist","['TensorFlow', 'AI', 'Machine Learning', 'R', 'Natural Language Processing', 'Software Development', 'MATLAB', 'Python']","c_97"
"1404_994b5c764776123e","Data Scientist - Applied Technology","120000-139999","data_scientist","['Mesos', 'Machine Learning', 'R', 'Azure', 'SAS', 'C/C++', 'SQL', 'Java', 'Natural Language Processing', 'Spark', 'Kubernetes', 'MATLAB', 'Python']","c_579"
"1405_50208b5bf45ee3b8","Principal Data Scientist (HCE)","120000-139999","data_scientist","['Hive', 'Machine Learning', 'Hadoop', 'Network', 'R', 'SQL', 'Tableau', 'Natural Language Processing', 'Spark', 'NoSQL', 'Python']","c_991"
"1406_b8acc26118799f48","Senior Data Scientist","120000-139999","data_scientist","['Data Mining', 'Machine Learning', 'Technical Writing', 'R', 'Statisical Analysis', 'Java', 'Natural Language Processing', 'MATLAB', 'Python']","c_1110"
"1407_03c5ff78e1523a44","Data Scientist","120000-139999","data_scientist","['Microsoft Powerpoint', 'Adobe Creative Suite', 'R', 'HTML5', 'Tableau', 'ArcGIS', 'Adobe Photoshop', 'MATLAB', 'Intelligence Community Experience']","c_104"
"1408_d72eb0548d91249c","Sr. Data Scientist","120000-139999","data_scientist","['R', 'Python', 'SQL']","c_937"
"1409_9edcedb2997876d2","Data Scientist","120000-139999","data_scientist","['Machine Learning', 'R', 'SQL', 'Apache', 'S3', 'Hadoop', 'Kafka', 'Scala', 'Marketing', 'SAS', 'Java', 'Spark', 'Python', 'AWS']","c_93"
"1410_2da0dedf6df97194","Marketing Data Scientist","120000-139999","data_scientist","['TensorFlow', 'Performance Marketing', 'Hive', 'Machine Learning', 'Conversion Optimization', 'R', 'C/C++', 'SQL', 'Leadership Experience', 'Business Intelligence', 'AI', 'Hadoop', 'Marketing', 'Scala', 'Tableau', 'Java', 'Spark', 'Python']","c_1593"
"1411_bfd775c668d70e10","Senior Data Scientist","120000-139999","data_scientist","['AI', 'Machine Learning', 'Project Management', 'R', 'SQL', 'Python']","c_231"
"1412_d3ee4a7355a0fb60","Sr. Data Scientist - Engine Data Analytics","120000-139999","data_scientist","['Java', '.Net', 'C#', 'Hadoop', 'Data Analysis', 'Scala', 'C/C++']","c_571"
"1413_131f8387a45b81d9","Business Banking Data Scientist","120000-139999","data_scientist","['Hive', 'Quantitative Analysis', 'Data Mining', 'Machine Learning', 'Hadoop', 'SAS', 'Big Data', 'Spark', 'Python']","c_1861"
"1414_f709b685f8df006f","Senior Data Scientist","120000-139999","data_scientist","['Linux', 'Microsoft SQL Server', 'Machine Learning', 'R', 'C/C++', 'SQL', 'S3', 'MySQL', 'Data Analysis', 'PostgreSQL', 'Leadership Experience', 'Google AdWords', 'Hadoop', 'Scala', 'Tableau', 'Java', 'MongoDB', 'Spark', 'Facebook Advertising', 'REST']","c_1580"
"1415_4e041af1d0af1bc8","Data Scientist, Senior","120000-139999","data_scientist","['Machine Learning', 'R', 'C/C++', 'Splunk', 'Big Data', 'MySQL', 'Design Experience', 'OOP', 'Hadoop', 'Tableau', 'Java', 'Maven', 'Git', 'Docker', 'Python']","c_323"
"1416_fd03a1a845b02aae","Senior Data Scientist","120000-139999","data_scientist","['Machine Learning', 'Eclipse', 'C/C++', 'Big Data', 'Node.js', 'C#', 'Software Development', 'Data Mining', 'VMWare', 'Hadoop', 'SDLC', 'CI/CD', 'Service-Oriented Architecture', 'Java', '.Net', 'IaaS', 'Angular', 'Git', 'NoSQL', 'Data Science']","c_1322"
"1417_38fd7bd102c4d12e","Principal Data Scientist","120000-139999","data_scientist","['Hive', 'Machine Learning', 'Hadoop', 'Scala', 'R', 'Azure', 'SQL', 'Java', 'Big Data', 'Natural Language Processing', 'Spark', 'Python', 'AWS']","c_277"
"1418_fd03a1a845b02aae","Data Scientist – Applied Research","120000-139999","data_scientist","['Machine Learning', 'Technical Writing', 'R', 'C/C++', 'Cloud Computing', 'Big Data', 'C#', 'Software Development', 'JavaScript', 'Data Mining', 'Hadoop', '.Net', 'Java', 'Spark', 'NoSQL', 'Data Science', 'Python', 'Elasticsearch', 'AWS']","c_1322"
"1419_2525cc4a9a704809","PHC, SR. Data Scientist","120000-139999","data_scientist","","c_867"
"1420_a4e4e2eaf26690c9","Federal - Junior Data Scientist","120000-139999","data_scientist","['Pig', 'AI', 'Hive', 'Data Mining', 'Machine Learning', 'Hadoop', 'R', 'Big Data', 'Spark', 'Python']","c_29"
"1421_430e7628d64b9af2","SaaS Marketing Manager, Data Scientist","120000-139999","data_scientist","['Machine Learning']","c_1350"
"1422_71c5f67b36fd552b","Senior Data Scientist","120000-139999","data_scientist","['TensorFlow', 'Linux', 'Machine Learning', 'R', 'Azure', 'SQL', 'Natural Language Processing', 'Confluence', 'Jira', 'Data Mining', 'Scala', 'Weka', 'Tableau', 'Java', 'Spark', 'Git', 'Python', 'Data Science', 'AWS']","c_2191"
"1423_6b546763f210bf41","Senior Data Scientist - Marketing","120000-139999","data_scientist","['Big Data', 'Customer Segmentation', 'Machine Learning', 'R', 'SAS', 'Python', 'SQL']","c_661"
